Priority queue q1 tasks: 
user_64       4428  1 /home/user/q1/user_64/
user_58       9607  1 /home/user/q1/user_58/
user_16       5402  1 /home/user/q1/user_16/
user_10       4988  3 /home/user/q1/user_10/
user_21       5352  5 /home/user/q1/user_21/
guest_4       7706  6 /home/guest/q1/guest_4/
user_64       4043  7 /home/user/q1/user_64/
user_20        809  7 /home/user/q1/user_20/
user_22       3101  7 /home/user/q1/user_22/
guest_5       1776  8 /home/guest/q1/guest_5/

Priority queue q2 tasks are: 
guest_14      3740  0 /home/guest/q2guest_14/
user_32        195  1 /home/user/q2/user_32/
guest_18      5325  1 /home/guest/q2guest_18/
user_58       2322  2 /home/user/q2/user_58/
user_41       6532  4 /home/user/q2/user_41/
user_64       8736  4 /home/user/q2/user_64/
guest_0       8646  4 /home/guest/q2guest_0/
user_3        4379  6 /home/user/q2/user_3/
user_24       6713  7 /home/user/q2/user_24/
user_24       7723  9 /home/user/q2/user_24/

Merge q1 and q2 to a priority queue q3, q3 tasks are: 
guest_14      3740  0 /home/guest/q2guest_14/
user_64       4428  1 /home/user/q1/user_64/
user_58       9607  1 /home/user/q1/user_58/
user_16       5402  1 /home/user/q1/user_16/
user_32        195  1 /home/user/q2/user_32/
guest_18      5325  1 /home/guest/q2guest_18/
user_58       2322  2 /home/user/q2/user_58/
user_10       4988  3 /home/user/q1/user_10/
user_41       6532  4 /home/user/q2/user_41/
user_64       8736  4 /home/user/q2/user_64/
guest_0       8646  4 /home/guest/q2guest_0/
user_21       5352  5 /home/user/q1/user_21/
guest_4       7706  6 /home/guest/q1/guest_4/
user_3        4379  6 /home/user/q2/user_3/
user_64       4043  7 /home/user/q1/user_64/
user_20        809  7 /home/user/q1/user_20/
user_22       3101  7 /home/user/q1/user_22/
user_24       6713  7 /home/user/q2/user_24/
guest_5       1776  8 /home/guest/q1/guest_5/
user_24       7723  9 /home/user/q2/user_24/

Peek q3, the data contains : 
guest_14      3740  0 /home/guest/q2guest_14/
After peek, the priority queue q3 tasks are: 
guest_14      3740  0 /home/guest/q2guest_14/
user_64       4428  1 /home/user/q1/user_64/
user_58       9607  1 /home/user/q1/user_58/
user_16       5402  1 /home/user/q1/user_16/
user_32        195  1 /home/user/q2/user_32/
guest_18      5325  1 /home/guest/q2guest_18/
user_58       2322  2 /home/user/q2/user_58/
user_10       4988  3 /home/user/q1/user_10/
user_41       6532  4 /home/user/q2/user_41/
user_64       8736  4 /home/user/q2/user_64/
guest_0       8646  4 /home/guest/q2guest_0/
user_21       5352  5 /home/user/q1/user_21/
guest_4       7706  6 /home/guest/q1/guest_4/
user_3        4379  6 /home/user/q2/user_3/
user_64       4043  7 /home/user/q1/user_64/
user_20        809  7 /home/user/q1/user_20/
user_22       3101  7 /home/user/q1/user_22/
user_24       6713  7 /home/user/q2/user_24/
guest_5       1776  8 /home/guest/q1/guest_5/
user_24       7723  9 /home/user/q2/user_24/

Dequeue q3, the data contains : 
guest_14      3740  0 /home/guest/q2guest_14/
After dequeue, the priority queue q3 tasks are: 
user_64       4428  1 /home/user/q1/user_64/
user_58       9607  1 /home/user/q1/user_58/
user_16       5402  1 /home/user/q1/user_16/
user_32        195  1 /home/user/q2/user_32/
guest_18      5325  1 /home/guest/q2guest_18/
user_58       2322  2 /home/user/q2/user_58/
user_10       4988  3 /home/user/q1/user_10/
