Priority queue q1 tasks: 
user_35       7435  0 /home/user/q1/user_35/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_35       5222  2 /home/user/q1/user_35/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_61       1829  6 /home/user/q1/user_61/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/

Priority queue q2 tasks are: 
user_44       5607  0 /home/user/q2/user_44/
user_39       3880  1 /home/user/q2/user_39/
user_56       3092  2 /home/user/q2/user_56/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_20       8642  8 /home/user/q2/user_20/
user_14         84  9 /home/user/q2/user_14/

Merge q1 and q2 to a priority queue q3, q3 tasks are: 
user_35       7435  0 /home/user/q1/user_35/
user_44       5607  0 /home/user/q2/user_44/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_39       3880  1 /home/user/q2/user_39/
user_35       5222  2 /home/user/q1/user_35/
user_56       3092  2 /home/user/q2/user_56/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_61       1829  6 /home/user/q1/user_61/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/
user_20       8642  8 /home/user/q2/user_20/
user_14         84  9 /home/user/q2/user_14/

Peek q3, the data contains : 
user_35       7435  0 /home/user/q1/user_35/
After peek, the priority queue q3 tasks are: 
user_35       7435  0 /home/user/q1/user_35/
user_44       5607  0 /home/user/q2/user_44/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_39       3880  1 /home/user/q2/user_39/
user_35       5222  2 /home/user/q1/user_35/
user_56       3092  2 /home/user/q2/user_56/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_61       1829  6 /home/user/q1/user_61/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/
user_20       8642  8 /home/user/q2/user_20/
user_14         84  9 /home/user/q2/user_14/

Dequeue q3, the data contains : 
user_35       7435  0 /home/user/q1/user_35/
After dequeue, the priority queue q3 tasks are: 
user_44       5607  0 /home/user/q2/user_44/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_39       3880  1 /home/user/q2/user_39/
user_35       5222  2 /home/user/q1/user_35/
user_56       3092  2 /home/user/q2/user_56/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_61       1829  6 /home/user/q1/user_61/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/
user_20       8642  8 /home/user/q2/user_20/
user_14         84  9 /home/user/q2/user_14/

The lowest item contains: 
user_14         84  9 /home/user/q2/user_14/
After remove the lowest item, the priority queue q3 tasks are:
user_44       5607  0 /home/user/q2/user_44/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_39       3880  1 /home/user/q2/user_39/
user_35       5222  2 /home/user/q1/user_35/
user_56       3092  2 /home/user/q2/user_56/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_61       1829  6 /home/user/q1/user_61/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/
user_20       8642  8 /home/user/q2/user_20/

Input a task id to find the task: 5607
Found the task: 
user_44       5607  0 /home/user/q2/user_44/
increase the task priority by 2.
The priority queue q3 tasks are:
user_44       5607  0 /home/user/q2/user_44/
user_23       9778  1 /home/user/q1/user_23/
user_68       7001  1 /home/user/q1/user_68/
user_39       3880  1 /home/user/q2/user_39/
user_35       5222  2 /home/user/q1/user_35/
user_56       3092  2 /home/user/q2/user_56/
guest_10       380  3 /home/guest/q1/guest_10/
user_44       6363  4 /home/user/q1/user_44/
user_79       4860  4 /home/user/q2/user_79/
guest_1       6382  5 /home/guest/q2guest_1/
user_61       1829  6 /home/user/q1/user_61/
user_53       1762  6 /home/user/q2/user_53/
user_12       5547  6 /home/user/q2/user_12/
user_12       1842  6 /home/user/q2/user_12/
user_23       8775  8 /home/user/q1/user_23/
user_71       3117  8 /home/user/q1/user_71/
user_4         805  8 /home/user/q1/user_4/
user_20       8642  8 /home/user/q2/user_20/


