250.00	
100	
9.83	4.36
7.95	8.14
4.79	5.14
7.45	3.80
5.39	8.56
4.57	1.08
2.55	7.19
6.93	4.87
9.04	9.39
6.67	3.69
4.97	8.16
6.30	1.76
7.21	7.10
4.77	9.04
5.23	5.07
3.85	2.93
2.65	1.34
9.92	2.70
1.15	3.30
9.58	4.52
8.09	6.71
6.14	8.56
5.75	1.84
5.60	2.43
9.25	5.95
8.03	7.82
2.23	3.40
1.78	9.26
4.26	2.47
1.19	5.14
2.82	3.78
5.75	1.61
8.40	6.60
2.29	8.49
5.53	3.11
4.04	1.29
5.74	6.39
5.43	8.77
7.56	7.38
3.37	2.76
2.44	7.23
9.92	3.36
8.76	2.98
5.29	2.82
1.14	2.04
9.84	7.60
6.98	5.48
4.45	3.67
6.68	4.12
2.63	7.49
9.94	1.30
9.69	8.14
9.00	3.13
2.10	4.50
1.10	2.28
7.77	9.90
2.60	6.72
9.43	8.33
8.01	3.48
1.32	1.84
3.52	9.78
5.15	6.54
1.24	4.79
6.52	3.03
9.16	3.82
2.67	7.99
5.13	5.19
8.86	7.28
4.24	2.61
7.19	9.82
9.44	7.15
7.09	2.79
2.99	2.52
4.84	2.27
2.58	9.92
4.85	2.60
2.59	3.20
7.94	5.86
3.50	7.08
8.27	9.19
4.22	4.37
8.49	5.95
9.58	8.81
4.21	2.69
9.31	1.69
9.20	6.67
4.20	8.15
4.99	4.29
3.80	6.70
5.37	2.85
3.64	5.76
6.70	2.06
5.92	6.36
8.76	2.22
9.24	1.32
4.76	8.67
5.23	3.31
4.72	4.30
3.65	2.11
8.60	9.69
